code,city,year,population,gdp,gdpp,gdpg
230900,七台河市,1999,84.9,529811,NA,7.67
230900,七台河市,2000,86.32,562078,NA,5.1
230900,七台河市,2001,86.63,614451,NA,NA
230900,七台河市,2002,86.34,696552,8054,11.5
230900,七台河市,2003,87.44,796885,9171,12
230900,七台河市,2004,88.15,965164,10994,13
230900,七台河市,2005,88.43,1002149,11989,13.2
230900,七台河市,2006,89.07,1142269,12870,12.5
230900,七台河市,2007,89.51,1351595,15137,14.9
230900,七台河市,2008,90.22,1871613,20826,25.6
230900,七台河市,2009,92.77,2336262,25534,26
230900,七台河市,2010,92.86,3052237,32890,25.1
230900,七台河市,2011,92.7,3080590,33209,5.3
230900,七台河市,2012,92.4,2989081,32308,8.3
230900,七台河市,2013,92,2409883,26194,-19.38
230900,七台河市,2014,88.2,2142590,25123,2.4
230900,七台河市,2015,83.11,2126515,24823,4.1
230900,七台河市,2016,80,2166414,26500,0.6
230900,七台河市,2017,79,1757953,NA,NA
230900,七台河市,2018,78,2503258,32028,5.6
460200,三亚市,1999,46.22,256102,NA,10.01
460200,三亚市,2000,47.51,295398,NA,13.8
460200,三亚市,2001,48.6,318613,NA,NA
460200,三亚市,2002,49.57,358800,7313,12.2
460200,三亚市,2003,50.39,411659,8236,12.7
460200,三亚市,2004,50.75,482348,9538,13.2
460200,三亚市,2005,51.19,742144,14560,13
460200,三亚市,2006,52.42,1092608,21089,14.5
460200,三亚市,2007,53.52,1223161,26414,22.1
460200,三亚市,2008,54.58,1443178,30572,16.8
460200,三亚市,2009,55.71,1733198,35750,17.2
460200,三亚市,2010,57.01,2308509,46596,20.3
460200,三亚市,2011,58.1,2837549,45421,14.2
460200,三亚市,2012,57.3,3309625,46366,9.3
460200,三亚市,2013,57.7,3734888,64395,12.85
460200,三亚市,2014,58.6,4022558,54584,5.5
460200,三亚市,2015,57.78,4358202,58486,8.1
460200,三亚市,2016,58,4755567,63273,7.8
460200,三亚市,2017,59,5298048,NA,NA
460200,三亚市,2018,61,5955057,77429,7.2
350400,三明市,1999,266.07,2398875,NA,9.79
350400,三明市,2000,266.72,2549813,NA,7.6
350400,三明市,2001,267.1,2720804,NA,NA
350400,三明市,2002,267.49,2865663,10679,8.5
350400,三明市,2003,267.66,3206821,12237,10
350400,三明市,2004,267.94,3758431,14307,10.3
350400,三明市,2005,268.13,3928434,14909,10.1
350400,三明市,2006,268.64,4535752,17181,13.1
350400,三明市,2007,269.5,5456879,20749,15.5
350400,三明市,2008,270.15,6669222,25407,14.2
350400,三明市,2009,271.06,8002444,30370,13.2
350400,三明市,2010,272.73,9751020,37917,13.2
350400,三明市,2011,273.4,12118142,48376,14.1
350400,三明市,2012,274.2,13392862,53422,12.2
350400,三明市,2013,278.5,14775868,53151,10.33
350400,三明市,2014,284,16212064,64590,9.57
350400,三明市,2015,284.12,17130478,67978,8.47
350400,三明市,2016,287,18608197,73261,7.8
350400,三明市,2017,288,4532584,NA,NA
350400,三明市,2018,289,23537162,91406,7.55
460300,三沙市,2012,0.1,NA,NA,NA
460300,三沙市,2013,NA,NA,NA,NA
460300,三沙市,2014,NA,NA,NA,NA
460300,三沙市,2015,0.04,NA,NA,NA
460300,三沙市,2016,0,NA,NA,NA
